Wed May 24 2023 14:59:23 GMT-0500 (Hora est. Pacífico, Sudamérica)
Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8;Sensor 9;Sensor 10;Sensor 11;Sensor 12;Sensor 13;Sensor 14;Sensor 15;
0cm ;57cm ;0cm ;47cm ;60cm ;57cm ;60cm ;4cm ;50cm ;53cm ;55cm ;53cm ;52cm ;53cm ;105cm ;
0cm ;52cm ;63cm ;14cm ;0cm ;53cm ;107cm ;4cm ;16cm ;55cm ;47cm ;60cm ;106cm ;93cm ;105cm ;
0cm ;52cm ;61cm ;8cm ;58cm ;56cm ;49cm ;4cm ;13cm ;57cm ;119cm ;62cm ;59cm ;94cm ;105cm ;
0cm ;62cm ;15cm ;49cm ;0cm ;12cm ;18cm ;4cm ;60cm ;14cm ;60cm ;56cm ;16cm ;64cm ;73cm ;
0cm ;51cm ;57cm ;6cm ;0cm ;56cm ;64cm ;4cm ;62cm ;19cm ;14cm ;52cm ;73cm ;63cm ;67cm ;
0cm ;52cm ;0cm ;63cm ;0cm ;52cm ;109cm ;4cm ;95cm ;45cm ;99cm ;61cm ;0cm ;61cm ;64cm ;
0cm ;52cm ;57cm ;31cm ;56cm ;50cm ;107cm ;4cm ;55cm ;56cm ;100cm ;117cm ;0cm ;91cm ;105cm ;
0cm ;54cm ;57cm ;57cm ;0cm ;51cm ;56cm ;4cm ;58cm ;31cm ;119cm ;117cm ;64cm ;91cm ;105cm ;
0cm ;51cm ;58cm ;16cm ;0cm ;51cm ;63cm ;4cm ;56cm ;17cm ;120cm ;118cm ;0cm ;92cm ;106cm ;
0cm ;49cm ;58cm ;51cm ;0cm ;49cm ;54cm ;4cm ;23cm ;22cm ;100cm ;117cm ;0cm ;93cm ;106cm ;
0cm ;56cm ;57cm ;48cm ;53cm ;49cm ;60cm ;4cm ;55cm ;20cm ;119cm ;118cm ;60cm ;92cm ;106cm ;
0cm ;50cm ;56cm ;120cm ;0cm ;51cm ;49cm ;4cm ;58cm ;17cm ;99cm ;118cm ;0cm ;96cm ;106cm ;
0cm ;53cm ;0cm ;45cm ;0cm ;22cm ;23cm ;4cm ;57cm ;54cm ;49cm ;49cm ;61cm ;67cm ;107cm ;
0cm ;52cm ;0cm ;41cm ;57cm ;10cm ;56cm ;4cm ;60cm ;63cm ;48cm ;117cm ;0cm ;65cm ;72cm ;
0cm ;52cm ;58cm ;12cm ;58cm ;55cm ;56cm ;4cm ;95cm ;63cm ;120cm ;50cm ;112cm ;93cm ;105cm ;
0cm ;50cm ;54cm ;61cm ;53cm ;47cm ;50cm ;4cm ;23cm ;52cm ;99cm ;70cm ;56cm ;56cm ;91cm ;
0cm ;48cm ;51cm ;54cm ;0cm ;47cm ;47cm ;4cm ;96cm ;53cm ;95cm ;61cm ;99cm ;93cm ;106cm ;
